Question,Answer,Class
what are the charge i have to pay to change the mode of account for my loan,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-HDFC Bank Account (ECS or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring â€œHDFC Bank Ltd Loan Account No. << >>â€ will be required along with the revised set of repayment instructions.,loans
how can i get my address changed in my loan account,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center (Link to open )and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",loans
what will be done with the post dated cheque if i request to change the mode of account for my loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.hdfcbank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",loans
what is pledge,A right over the security is created in favour of HDFC Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,loans
which document should i carry at the time of visiting hdfc bank,"You need to carry an Agreement Number, Self-attested Identification Proof containing your signature to avail of any information / deliverable along with a written request and produce the documents at the Customer Service Desk. If you want to change your address / contact details, you need to submit an address change request along with a Self-attested copy of your revised address proof. The Request form for Address Change is available on the Form Centre of HDFC Bank website. View more",loans
how much time will it take to change the mode of account for your loan,"It will take 25 working days to activate the revised instructions. In case your next instalment falls due prior to the said period, an instruction already lodged with us will be presented for payment.",loans
who can resolve my query,"For your queries related to Loans (other than home loans), please visit the nearest Retail Asset Branch. You can also write to us at www.hdfcbank.com/services with the following verification details or contact your nearest PhoneBanking officer: Loan account number Name of applicant / loan favouring Date of birth of the applicant (as provided in loan application form) Correspondence address Loan amount EMI amount Mode of repayment (standing instruction / ECS / post date cheques) Bank name and account number from which the EMIs are collected Query / Complain View more",loans
how can i get my address changed in my loan account,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",loans
what will be done with the post dated cheque if i request to change the mode of account for my loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.hdfcbank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",loans
how can i change the mode of account for my loan,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. 3 Security cheques favoring HDFC Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by HDFC Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. Security cheques favoring HDFC Bank Ltd Loan Account No. << >> *** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest Retail Loan Service Center: Request form for swap of repayment instructions Revised post dated cheques in favour of HDFC Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
how do i obtain a duplicate repayment schedule for my loan account,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.hdfcbank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided",loans
what are the charge i have to pay to change the mode of account for my loan,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-HDFC Bank Account (ACHStands for Automated Clearing House. It is a mode by which funds are automatically debited to your account every month to pay or a certain bill or fee. It helps so you donâ€™t have to remember every month to pay your regular bills. It is only done after a standing instruction is given by the account holder. or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring â€œHDFC Bank Ltd Loan Account No. << >>â€ will be required along with the revised set of repayment instructions,loans
do i need to provide collateral to avail of an education loan education loan for indian education,"For loans up to Rs. 4 lakh - No collateral or Third Party Guarantee is required For loans from Rs. 4 lakh to Rs. 7.5 lakh â€“ No collateral required, however Third Party Guarantee is required For loans above Rs. 7.5 lakh â€“ collateral is required. You can choose from any of the following acceptable collaterals: Residential Property HDFC Bank Fixed Deposit LIC/NSC/KVP View more",loans
what is the maximum loan amount i can get for study in india,"To study in India, the maximum loan you can get is upto Rs. 10 lacs.",loans
is there holiday available education loan for indian education,Yes. A moratorium/repayment holiday is available for select courses.,loans
which course can i take an education loan for education loan for indian education,You can take a Education Loan for Indian education on the following courses: Management Courses (Full-Time) â€“ Graduation + Post Graduation Engineering Courses ( Government + Private ) - Graduation Medicine - Graduation + Post Graduation Masters in Computer Application ( MCA / MCM ) Architecture - Graduation + Post Graduation Hotel and Hospitality - Graduation + Post Graduation Agriculture - Graduation + Post Graduation Pure Science - Graduation + Post Graduation View more,loans
how do i know if i am eligible for the education loan for indian education,"If you are an Indian resident/citizen, have got admission in a graduate/ post graduate course in a college/institute/university which is recognized by the UGC/AICTE/AIBMS or ICMR, then you are eligible for the HDFC Bank Student Loan for Indian Education.",loans
how long is the tenure of the loan education loan for indian education,The maximum repayment tenures are as below: For loans upto Rs. 7.50 lacs - upto 10 years For loans above Rs. 7.50 lacs - upto 15 years,loans
do i need a for the loan education loan for indian education,Yes a co applicant is required for all full time courses. Co-applicant could be Parent/ Guardian or Spouse/ Parent-in-law (if married),loans
what doe period mean education loan for indian education,"A repayment moratorium (also called a repayment holiday) is the course work period + 1 year or 6 months after the student gets a job or starts earning, whichever is earlier.",loans
do i have to pay any margin money my own funding education loan for indian education,"Margin Money upto Rs. 4.00 lacs - Nil, For loans above Rs. 4.00 lacs - 5%",loans
which course related expense doe this loan cover education loan for indian education,"Apart from the basic course fee payable to the institution where you decide to study, the following expenses will be covered under the loan: Exam/Library/Lab fees Caution deposit / Refundable deposit asked by the institution / Building fund - supported by Institution bills / receipts Purchase of Books/equipments/instrument/uniforms Travel expenses/passage money for studies abroad Purchase of computers - essential for completion of the course Insurance Miscellaneous expenses related to the course - like study tours, project work, thesis, etc. View more",loans
will the loan be disbursed in favour of the education loan for indian education,Yes. The tuition and hostel fees (if any) will be disbursed directly to the educational institute as per the schedule and structure of fees given by them.,loans
do i have to make any repayment during the moratorium period education loan for indian education,You have the option of servicing simple interest during moratorium period. Simple interest will be calculated on the loan amount disbursed payable monthly.,loans
how can i change the mode of account for my loan,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. 3 Security cheques favoring HDFC Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by HDFC Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. Security cheques favoring HDFC Bank Ltd Loan Account No. << >> *** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest Retail Loan Service Center: Request form for swap of repayment instructions Revised post dated cheques in favour of HDFC Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
what are the charge i have to pay to change the mode of account for my loan,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-HDFC Bank Account (ECS or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring â€œHDFC Bank Ltd Loan Account No. << >>â€ will be required along with the revised set of repayment instructions,loans
what is the mode of repayment for student loan in india,"You have the option of repaying the loan through a Standing instruction, ACHStands for Automated Clearing House. It is a mode by which funds are automatically debited to your account every month to pay or a certain bill or fee. It helps so you donâ€™t have to remember every month to pay your regular bills. It is only done after a standing instruction is given by the account holder. or post-dated cheques.",loans
what will be done with the post dated cheque if i request to change the mode of account for my loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.hdfcbank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",loans
how can i get my address changed in my loan account,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",loans
how do i obtain a duplicate repayment schedule for my loan account,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.hdfcbank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided",loans
which course can i take an education loan for,You can take an Education Loan for the following: Engineering/MS MBA/PGBM Medical Hotel Management *Other courses may be considered on a case to case basis,loans
what all is the loan for study and stay or just study,"Education loan is normally taken for financing Tuition fees, living expenses (hostel etc.), books and periodicals and sometimes traveling",loans
why should i get loan sanction before admission,The preferred way to declare â€˜Assured Funds to Universitiesâ€™ Better acceptance of the sanction letter over the solvency letter Increases your chances of getting admission to your dream college No last minute surprises specially during Visa time: Know your loan eligibility in advance Quick and hassle free process to get a sanction letter,loans
is there a repayment holiday available,Yes. A moratorium holiday is available for the select courses.,loans
what all is the loan for study and stay or just study,"Education loan is normally taken for financing tuition fees, living expenses (hostel etc.), books and periodicals and sometimes traveling.",loans
who can be my,"Relative with a good income and who can support your education loan application. Typically it can be your father, mother, brother, sister, spouse, cousin, paternal uncle (Chacha), paternal aunt (Chachi), maternal uncle (Mama), maternal aunt (Mami), grandfather, grandmother.",loans
do i need a for the loan,Yes a co-applicant is required for all full time courses.,loans
who can apply for credila education loan,Credila provides education loan to Indian students for higher studies in India and abroad. Credila has funded Indian students for pursuing higher studies in over 2000 institutes across 36 countries.,loans
can i apply before confirmed admission,Yes you can apply before securing an admission.,loans
how much loan can i get from credila,Credila is the only lender that not only finances up to 100% of the cost of education but also gives education loan over Rs. 20 lakh.,loans
when do i start paying my emi,Credilaâ€™s unique education loan offers the flexibility of paying only simple interest (PEMI) during the course period and principle plus interest (EMI) after the completion of studies and grace period.,loans
will we get tax benefit on the interest paid on education loan,"Yes, every Credila borrower or co-borrower (any one) is entitled for Tax benefit under 80E of Income Tax Act, 1961.",loans
which course related expense doe this loan cover education loan for foreign education,"Apart from the basic course fee payable to the institution where you decide to study, the following expenses will be covered under the loan: Exam/Library/Lab fees Caution deposit / Refundable deposit asked by the institution / Building fund - supported by Institution bills / receipts Purchase of Books / equipments / instrument / uniforms Travel expenses / passage money for studies abroad Purchase of computers - essential for completion of the course Insurance Miscellaneous expenses related to the course - like study tours, project work, thesis, etc. View more",loans
will the loan be disbursed in favour of the education loan for foreign education,Yes. The tuition and hostel fees (if any) will be disbursed directly to the educational institute as per the schedule and structure of fees given by them.,loans
do i need to provide collateral to avail of an education loan education loan for foreign education,"For loans up to Rs. 4 lakh - No collateral or Third Party Guarantee is required For loans from Rs. 4 lakh to Rs. 7.5 lakh â€“ No collateral required, however Third Party Guarantee is required For loans above Rs. 7.5 lakh â€“ collateral is required. You can choose from any of the following acceptable collaterals: Residential Property HDFC Bank Fixed Deposit LIC/NSC/KVP View more",loans
how long is the tenure of the loan education loan for indian education,"The maximum tenure of the loan can be 7 years, including the Moratorium period.",loans
do i have to make any repayment during the moratorium period education loan for foreign education,You have the option of servicing simple interest during moratorium period. Simple interest will be calculated on the loan amount disbursed payable monthly.,loans
what is the mode of repayment education loan for foreign education,"You have the option of repaying the loan through a Standing instruction, ECS or post-dated cheques.",loans
which course can i take an education loan for education loan for foreign education,You can take a Education Loan for foreign education on the following courses: Management Courses (Full-Time) Engineering Courses Medicine - Graduation + Post Graduation Masters in Computer Application ( MCA / MCM ) Architecture Hotel and Hospitality Agriculture Pure Science View more,loans
is there holiday available education loan for foreign education,Yes. A moratorium/repayment holiday is available for select courses.,loans
what is the maximum loan amount i can get for study abroad,"To study abroad, the maximum loan amount you can get is up to Rs. 20 lakhs.",loans
do i need a for the loan education loan for foreign education,"Yes a co applicant is required for all full time courses. Here are a few points to be noted about co applicants: Primary Co-Applicants: Parents, Spouse, Siblings Secondary Co-Applicants: Father-In Law, Mother-In-Law, Brother-In-Law, Paternal / Maternal Uncle / Aunt View more",loans
what doe period mean education loan for foreign education,"A repayment moratorium (also called a repayment holiday) is the course work period + 1 year or 6 months after the student gets a job or starts earning, whichever is earlier.",loans
what is the mode of repayment,You have the option of repaying the loan through an ECS.,loans
do i have to make any repayment during the moratorium period,You have the option of servicing simple interest during moratorium period. Simple interest will be calculated on the loan amount disbursed payable monthly.,loans
what kind of collateral security is required,"Security which can support your loan amount is collateral. It can be a flat, house, non-agricultural land, fixed deposit, etc. Sufficient and good collateral security improves loan application significantly.",loans
who should opt for an education loan and why,"Usually, middle-income group people apply for education loans. However, because of: Rapidly rising costs of education Income tax benefit under 80 E of IT Act Students wanting to take their own financial responsibilities to preserve the parents savings build positive credit history Even affluent families are going for education loan",loans
do i have to pay any margin money my own funding education loan for foreign education,"Margin Money upto Rs. 4.00 lacs - Nil, For loans above Rs. 4.00 lacs - 15%.",loans
how do i know if i am eligible for an education loan for foreign education,"If you are an Indian resident/citizen, have got admission for a job oriented professional / technical courses offered by reputed universities, MBA, MCA, MS, etc, Degree / diploma courses like aeronautical, shipping, etc provided these are recognized by competent regulatory bodies in India/abroad for the purpose of employment in India / abroad.",loans
what will be done with the post dated cheque if i request to change the mode of account for my loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.hdfcbank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",loans
how can i get my address changed in my loan account,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",loans
how can i change the mode of account for my loan,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. 3 Security cheques favoring HDFC Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by HDFC Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. Security cheques favoring HDFC Bank Ltd Loan Account No. << >> *** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest Retail Loan Service Center: Request form for swap of repayment instructions Revised post dated cheques in favour of HDFC Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
how long doe it take to process gold loan,"A gold loan is disbursed within One Hour. This is, however, subject to the verification of the gold and other documents that you submit. Approvals are at the sole discretion of the bank.",loans
how much loan amount can be availed at a time,Loan value starts from Rs.50000 onwards depending on the amount of Gold brought. Loans less than Rs 50000/- also available for rural markets.,loans
are there any benefit on sector,"Yes, bank will give preferred interest rates and priority processing for the Priority sector.",loans
how should the gold loan be repaid,The best thing about Loan against Gold is that only servicing of the interest is required. Monthly out flow as low as Rs 1000 per lakh calculated basis indicative rate of 12% p.a,loans
what security is required against the gold loan,"All gold to be brought to HDFCâ€™s designated/disbursement branch.We will value the gold and based on that valuation you can choose from the various product offerings, depending on your loan requirement.",loans
what will be the tenure of gold loan,"Gold Loan are available for tenures starting from 6 months, up to 48 months.",loans
what are benefit for hdfc bank account holder,Benefits are quick processing time and simplified documentation. Further there are preferred rates for customers who have a strong banking relationship with the bank.,loans
what is,Removal of a pledge from the security to regain the rights over the security is called de-pledge. *Conditions Apply,loans
what is guarantor,A Guarantor is a person who guarantees to pay for someone else's debt if he or she should default on a loan obligation.,loans
what is amortization,Amortization is paying off debts in regular instalments over a period of time.,loans
what is pledge,A right over the security is created in favour of HDFC Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,loans
what is rtgs,"RTGS is the Real Time Gross Settlement which is used for the transfer of amounts of Rs. 1,00,000 or more from one bank account to another bank account (any bank located anywhere in India if attached with an Internet system) at very minimal charges. The amount is credited into the beneficiary's account in real time. For amounts less than Rs. 1,00,000 we use NEFT( National Electronic Fund Transfer).",loans
what is neft,The National Electronic Funds Transfer (NEFT) system is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.,loans
what is si,"SI stands for Standing Instructions. It is one of the modes you can use to repay a loan, wherein your HDFC Bank account is directly debited for the EMI amounts, based on your specific instructions in the form of the Standing Instructions Mandate.",loans
what is cibil,"CIBIL stands for Credit Information Bureau India Limited. CIBIL's aim is to fulfil the need of credit granting institutions for comprehensive credit information by collecting, collating and disseminating credit information pertaining to both commercial and consumer borrowers, to a closed user group of members. Banks, Financial Institutions, Non-Banking Financial Companies, Housing Finance Companies and Credit Card Companies use CIBIL's services. Data sharing is based on the Principle of Reciprocity, which means that only Members who have submitted all their credit data may access Credit Information Reports from CIBIL. The establishment of CIBIL is an effort made by the Government of India and the Reserve Bank of India to improve the functionality and stability of the Indian financial system by containing NPAs while improving credit grantors' portfolio quality. CIBIL provides a vital service, which allows its Members to make informed, objective and faster credit decisions. View more",loans
which document should i carry at the time of visiting hdfc bank,"You need to carry an Agreement Number, Self-attested Identification Proof containing your signature to avail of any information / deliverable along with a written request and produce the documents at the Customer Service Desk. If you want to change your address / contact details, you need to submit an address change request along with a Self-attested copy of your revised address proof. The Request form for Address Change is available on the Form Centre of HDFC Bank website. View more",loans
who can resolve my query,"For your queries related to Loans (other than home loans), please visit the nearest Retail Asset Branch. You can also write to us at www.hdfcbank.com/services with the following verification details or contact your nearest PhoneBanking officer: Loan account number Name of applicant / loan favouring Date of birth of the applicant (as provided in loan application form) Correspondence address Loan amount EMI amount Mode of repayment (standing instruction / ECS / post date cheques) Bank name and account number from which the EMIs are collected Query / Complain View more",loans
how can i change the mode of account for my loan,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. 3 Security cheques favoring HDFC Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by HDFC Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. Security cheques favoring HDFC Bank Ltd Loan Account No. << >> *** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest the Retail Loan Service Center : Request form for swap of repayment instructions Revised post dated cheques in favour of HDFC Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
are there any additional charge for loan repayment,The additional charges (if any) are applicable in case you default or in case of SWAP (i.e. change the repayment mode). The charges are updated and can be viewed in the Fees & Charges section in the Bankâ€™s website of each loan product.,loans
do i have the option to structure my loan a partly fixed or partly floating,"Yes, you can structure your HDFC Ltd. Home Loan as Partly Fixed or Partly Floating as per your needs.",loans
can i give standing instruction to repay my home loan emis directly from my hdfc bank saving account,"Yes, you can opt for Automated Repayment and your EMIs will be directly repaid from your HDFC Bank Savings Account, thus saving you the trouble of procuring, signing and tracking post-dated cheques.",loans
what is pledge,A right over the security is created in favour of HDFC Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,loans
how will hdfc decide my home loan eligibility,"HDFC assess the customer's repayment capacity based on income, age, qualifications, number of dependants, spouse's income, assets, liabilities, stability and continuity of occupation, and savings history.",loans
what is interest,"Pending final disbursement, you pay interest on the portion of the loan disbursed. This interest is called pre-EMI interest. Pre-EMI interest is payable every month from the date of each disbursement up to the date of commencement of EMI. *Conditions apply. All Home Loans from HDFC Ltd. Credit at sole discretion of HDFC Ltd.",loans
are my property document safe with hdfc ltd,HDFC offers in-house scrutiny of property documents for your complete peace of mind. So be assured that your property documents are in safe hands.,loans
what property can be considered a collateral for lap,You can provide your self-occupied Residential or Commercial property (Shops and Offices) as collateral.,loans
are there any additional charge for loan,You may refer to the Fees & Charges option under the product Loan Against Property and Loan Against Rental Receivables. All terms and conditions are at the Sole discretion of HDFC Bank Ltd. The bank reserves the right to change/ modify any of the above at any time.,loans
what are the fee charge applicable,You may refer to the Fees & Charges option under the product Loan Against Property and Loan Against Rental Receivables.,loans
can i avail an overdraft against my property,A Loan Against Property can be availed as a Term Loan with EMI repayments or as a Drop line Overdraft Facility.,loans
what is the maximum tenure to repay the loan against property,A Loan Against Rent Receivables can be sanctioned for a minimum tenure of 12 months and a maximum tenure of 108 months. This however depends on the balance lease period and other parameters.,loans
what is the maximum loan i can get against my property,You can get a Loan Against Property up to a maximum of 60%* of the market value of your property. * conditions apply,loans
